user_name,date,tweet_id,text,hashtags
Nancy Pelosi,Fri May 17 15:54:01 +0000 2019,1129414777837641729,"Wondering how the #EqualityAct will impact LGBTQ Americans in our communities? Take a moment to watch Wednesday’s discussion between @RepCicilline, the bill’s primary sponsor, and @SarahEMcBride of @HRC. https://t.co/tu1zCe1Qtp",[['EqualityAct']]
Nancy Pelosi,Fri May 17 15:41:52 +0000 2019,1129411722031321088,"For too long, conversations surrounding America’s LGBTQ community have focused on “tolerance.”

But tolerance is a condescending word.

As we pass the #EqualityAct today, we take pride in this community and all they have &amp; will achieve. https://t.co/I53StyYFxK",[['EqualityAct']]
Nancy Pelosi,Fri May 17 14:57:02 +0000 2019,1129400436816007171,"The House is preparing to vote to pass the #EqualityAct, which will extend civil rights protections to LGBTQ Americans in communities across the country.

Tune in here: https://t.co/JrHondCDwn https://t.co/GlSSNgfJ8A",[['EqualityAct']]
Nancy Pelosi,Fri May 17 02:49:35 +0000 2019,1129217368016785408,Inspiring show of endurance today from @RepMGS &amp; the @HouseDemocrats reading through the entire #MuellerReport. Your dedication to ensuring Americans know the truth is exactly what we need in the face of @realDonaldTrump's lawless stonewalling. https://t.co/AZwbtpfUpD,[['MuellerReport']]
Nancy Pelosi,Fri May 17 02:30:17 +0000 2019,1129212513281826821,"The Trump Admin is demonstrating just how far they will to go to advance their hateful agenda by denying citizenship to children born abroad to same-sex American couples, as well as those who seek medical treatment overseas in order to conceive. https://t.co/zn2yGgPziS",[None]
Nancy Pelosi,Thu May 16 23:07:55 +0000 2019,1129161585870684160,"The proposed rule by @SecretaryCarson to target mixed immigration status families is no different from the President’s family separation policy: cruel, barbaric, and inhumane. #KeepFamiliesTogether https://t.co/jC4d5gnOX0",[['KeepFamiliesTogether']]
Nancy Pelosi,Thu May 16 22:56:19 +0000 2019,1129158666773499906,"As the House moves forward in our mission to lower prescription drug prices &amp; protect people with pre-existing conditions, I’m thinking of @AdyBarkan, who has fought so hard for Americans nationwide. Your courage was felt on the floor of the House today, Ady! #ProtectOurCare https://t.co/BeqdQlS065",[['ProtectOurCare']]
Nancy Pelosi,Thu May 16 21:33:18 +0000 2019,1129137776539111431,".@realDonaldTrump’s latest immigration “proposal” features the worst of his failed policies: family detention, his ineffective wall, abandoning Dreamers and gutting asylum &amp; refugee protections. In other words, it’s dead on arrival. https://t.co/WdVnTRUfLn",[None]
Nancy Pelosi,Thu May 16 17:07:45 +0000 2019,1129070947456167937,Everything is about the future – about the children. All that we do is aimed at honoring the vision of our Founders and the aspirations of our children. #GeorgetownLaw https://t.co/54cw4WuVNy,[['GeorgetownLaw']]
Nancy Pelosi,Thu May 16 15:29:23 +0000 2019,1129046190006374402,Looking forward to my conversation with Dean Treanor &amp; the @GeorgetownLaw Class of 2019 at 12 noon ET. Tune in here: https://t.co/2eeusQWqtY,[None]
Nancy Pelosi,Thu May 16 15:10:52 +0000 2019,1129041531195858944,"Republicans can make claim after claim about their support for protecting people with pre-existing conditions, but here’s the truth: when the House voted on a bill to do exactly that, they voted no. #ProtectOurCare",[['ProtectOurCare']]
Nancy Pelosi,Thu May 16 15:03:05 +0000 2019,1129039571440820226,"I’m speaking with reporters live on Capitol Hill ahead of Democrats’ vote to protect Americans with pre-existing conditions, lower prescription drug costs &amp; reverse Republican sabotage of health care. #ProtectOurCare https://t.co/8Aa8ssppWe",[['ProtectOurCare']]
Nancy Pelosi,Thu May 16 14:15:28 +0000 2019,1129027590377938944,Tune in as I speak with reporters live at the Capitol during today’s press conference at 10:45 am ET. https://t.co/rFd2fqW3Qv,[None]
